directory_name,epc_label,year_built,Street,Number,ZIP,City,property_type,price,bedrooms,bathrooms,habitable_space_sqm,ground_space_sqm,address,url,data_source,image_count,price_cat_50k,price_cat_100k,price_normalized,price_cat_encoded,generated_text,is_backtranslated
JEuU0hv8TuCYAl7IfsXq,,2022.0,Oorlogskruisenlaan,277,1120,Neder-over-Heembeek,Apartment,549000,2.0,2.0,128.0,,"Oorlogskruisenlaan 277, 1120 Neder-over-Heembeek",,Internal,38,"€500,000-€550,000","€500,000-€600,000",1.0723059497185718,10,"This is an apartment, located at Oorlogskruisenlaan 277, 1120 Neder-over-Heembeek, built in 2022. It features 2 bedrooms, 2 bathrooms and 128 sqm of habitable space.",False
Route_de_Bastogne_328_6700_Arlon,D,,Route de Bastogne,328,6700,Arlon,House,295000,3.0,1.0,215.0,,"Route de Bastogne 328, 6700 Arlon",https://www.era.be/en/for-sale/aarlen/house/for-sale-arlon-3-bed-house-garden,ERA,13,"€250,000-€300,000","€200,000-€300,000",-0.3297071631426281,4,"This is a house, located at Route de Bastogne 328, 6700 Arlon. It features 3 bedrooms, 1 bathroom and 215 sqm of habitable space. The property has an Energy Performance Certificate (EPC) rating of D.",False
vKCIDueynRSXNNt5vV53,A,2022.0,Donklaan,257,9290,Berlare ,Apartment,378000,3.0,1.0,115.0,115.0,"Donklaan 257, 9290 Berlare ",,Internal,26,"€350,000-€400,000","€300,000-€400,000",0.12843098003642545,6,"This is an apartment, located at Donklaan 257, 9290 Berlare, built in 2022. It features 3 bedrooms, 1 bathroom and 115 sqm of habitable space. The property has an Energy Performance Certificate (EPC) rating of A.",False
uJYRUj02jGBruvDicdHm,A,1978.0,Fabiolapark,87,2870,Puurs-Sint-Amands ,House,345000,3.0,1.0,125.0,222.0,"Fabiolapark 87, 2870 Puurs-Sint-Amands ",,Internal,24,"€300,000-€350,000","€300,000-€400,000",-0.053720329902234396,5,"This is a house, located at Fabiolapark 87, 2870 Puurs-Sint-Amands, built in 1978. It features 3 bedrooms, 1 bathroom, 125 sqm of habitable space and a ground space of 222 sqm. The property has an Energy Performance Certificate (EPC) rating of A.",False
Nieuwpoortlaan_143_0302_8660_De_Panne,A,,Nieuwpoortlaan,143 0302,8660,De Panne,Apartment,219000,1.0,1.0,52.0,438.0,"Nieuwpoortlaan 143 0302, 8660 De Panne",https://www.era.be/en/for-sale/de-panne/flat-apartment/cozy-1-bedroom-apartment-terrace-for-sale-de-panne,ERA,15,"€200,000-€250,000","€200,000-€300,000",-0.7492071496680265,3,"This is an apartment, located at Nieuwpoortlaan 143 0302, 8660 De Panne. It features 1 bedroom, 1 bathroom, 52 sqm of habitable space and a ground space of 438 sqm. The property has an Energy Performance Certificate (EPC) rating of A.",False
De_Drie_Kreeften_7_70309_3000_Leuven_(Leuven),,2023.0,De Drie Kreeften,7 7/03.09,3000,Leuven (Leuven),Apartment,274500,1.0,1.0,73.0,73.0,"De Drie Kreeften 7 7/03.09, 3000 Leuven (Leuven)",https://www.era.be/en/for-sale/leuven/flat-apartment/luxe-erkende-assistentiewoning-serviceflat-leuven-11,ERA,11,"€250,000-€300,000","€200,000-€300,000",-0.4428617647711895,4,"This is an apartment, located at De Drie Kreeften 7 7/03.09, 3000 Leuven (Leuven), built in 2023. It features 1 bedroom, 1 bathroom and 73 sqm of habitable space.",False
woA9eRgfqbDT45KxHIHP,,,Onderwijslaan,54,0000,Diepenbeek,House,399000,4.0,1.0,187.0,3573.0,"Onderwijslaan 54, 0000 Diepenbeek",,Internal,37,"€350,000-€400,000","€300,000-€400,000",0.2443454499973908,6,"This is a house, located at Onderwijslaan 54, 0000 Diepenbeek. It features 4 bedrooms, 1 bathroom, 187 sqm of habitable space and a ground space of 3573 sqm.",False
Oostwinkeldorp_31_9931_Lievegem,F,,Oostwinkeldorp,31,9931,Lievegem,House,189000,2.0,1.0,370.0,239.0,"Oostwinkeldorp 31, 9931 Lievegem",https://www.era.be/en/for-sale/oostwinkel/house/woninghandelszaak-nieuwbouw,ERA,18,"€150,000-€200,000","€100,000-€200,000",-0.9147992496122628,2,"This is a house, located at Oostwinkeldorp 31, 9931 Lievegem. It features 2 bedrooms, 1 bathroom, 370 sqm of habitable space and a ground space of 239 sqm. The property has an Energy Performance Certificate (EPC) rating of F.",False
Statiestraat_11_8720_Dentergem,E,,Statiestraat,11,8720,Dentergem,House,289000,2.0,1.0,218.0,766.0,"Statiestraat 11, 8720 Dentergem",https://www.era.be/en/for-sale/dentergem/house/te-renoveren-woning-met-magazijn-op-766m2-dentergem,ERA,20,"€250,000-€300,000","€200,000-€300,000",-0.36282558313147534,4,"This is a house, located at Statiestraat 11, 8720 Dentergem. It features 2 bedrooms, 1 bathroom, 218 sqm of habitable space and a ground space of 766 sqm. The property has an Energy Performance Certificate (EPC) rating of E.",False
JVX7psFMsNzAvlWMfcVS,C,1977.0,Kroonstraat ,178,3580,Beringen,House,349000,5.0,1.0,235.0,595.0,"Kroonstraat  178, 3580 Beringen",,Internal,56,"€300,000-€350,000","€300,000-€400,000",-0.0316413832430029,5,"This is a house, located at Kroonstraat 178, 3580 Beringen, built in 1977. It features 5 bedrooms, 1 bathroom, 235 sqm of habitable space and a ground space of 595 sqm. The property has an Energy Performance Certificate (EPC) rating of C.",False
